MAG,KEGG,Corr_Cancer,Corr_Control,Z_Diff,P_Value
Parvimonas_micra,K01689,0.5324849939975991,-0.05972850678733032,0.6534069009007498,0.0014518732263402168
Porphyromonas_pasteri,K01613,0.26031212484994,0.7041628959276018,-0.6090669698699992,0.0029968504539608087
Prevotella_shahii,K01712,0.3932292917166867,-0.17656108597285067,0.5940451746911747,0.0037933047180653823
Fusobacterium_nucleatum_J,K01689,0.5187515006002401,-0.0022624434389140274,0.5768925111347187,0.004934626961998534
Oribacterium_parvum,K15634,0.1849147462976844,-0.3667873303167421,0.5717726536046095,0.00533100757848004
Prevotella_multiformis,K21063,0.07294117647058823,-0.4579185520361991,0.5677453426389887,0.00566276626689155
Lautropia_dentalis,K02299,0.8862784864754883,0.6934841628959276,0.5496673102837701,0.007393093867011924
Prevotella_shahii,K01589,-0.5225930372148859,-0.03076923076923077,-0.5491214571514976,0.007452027528798366
Porphyromonas_pasteri,K15634,0.5062215333174073,0.013755656108597285,0.5438797408985806,0.008039767935384967
Prevotella_multiformis,K00969,-0.045282112845138056,0.46054298642533936,-0.5433133262534439,0.008105700500685709
Parvimonas_micra,K02118,0.7268667466986795,0.36606334841628957,0.5381823747693372,0.008725367758628089
Prevotella_shahii,K03737,0.34376950780312127,-0.16660633484162896,0.5265350243196988,0.010291675916276999
Lautropia_dentalis,K01733,0.07505402160864345,0.5301357466063349,-0.5151385227061571,0.012061649384887518
Fusobacterium_nucleatum_J,K01596,0.32907563025210085,-0.16606334841628959,0.5094068999208473,0.013049900449564111
Fusobacterium_nucleatum_J,K00886,0.13296518607442978,-0.3571945701357466,0.5074236769941431,0.013408161050148415
Prevotella_shahii,K01468,0.36384153661464586,-0.11945701357466064,0.5013366288932002,0.01456262388561358
Capnocytophaga_gingivalis,K13542,-0.3041056422569028,0.18371040723981902,-0.49985745059914644,0.014856066731048001
Prevotella_shahii,K01745,0.35865546218487393,-0.12226244343891403,0.498219186532282,0.015187139001088035
Parvimonas_micra,K02123,0.7053541416566627,0.36262443438914027,0.4979725686470275,0.015237535906019284
Prevotella_shahii,K00640,-0.6408163265306123,-0.2675113122171946,-0.4853762556805813,0.018015460216546764
Prevotella_multiformis,K00873,-0.1782953181272509,-0.5812669683257918,0.4841525789215761,0.018307617391265518
Veillonella_parvula_A,K01609,-0.577046818727491,-0.17357466063348417,-0.48267386444172033,0.018666193580011203
Prevotella_shahii,K00283,0.486578631452581,0.0551131221719457,0.4763987991159161,0.020257074702874744
Prevotella_multiformis,K00215,-0.07831932773109243,0.37411764705882355,-0.47168239145533675,0.021529466616088344
Capnocytophaga_gingivalis,K01500,-0.37315726290516205,0.07864253393665159,-0.4708913875335463,0.021749542026404223
Lautropia_dentalis,K01689,0.4588235294117647,0.025429864253393664,0.47038473653212803,0.021891530338057352
Veillonella_parvula_A,K00162,-0.41253301320528213,0.031040723981900453,-0.46971059085922173,0.022081708966645852
Parvimonas_micra,K02119,0.7231212484993997,0.41918552036199097,0.4674529496798807,0.022729099742192282
Veillonella_parvula_A,K00161,-0.40657863145258105,0.029592760180995475,-0.46110681043980317,0.024637974012898134
Lautropia_dentalis,K02297,0.8665147844186958,0.6960180995475113,0.4593835828535422,0.025179699772881925
Prevotella_shahii,K00927,-0.5593757503001201,-0.17113122171945702,-0.45909241295958536,0.025272244979564817
Prevotella_multiformis,K00283,0.4018727490996399,0.7076923076923077,-0.45666522398460235,0.02605522180906994
Fusobacterium_nucleatum_J,K00161,-0.08907563025210084,0.34986425339366517,-0.4546014131146522,0.02673738798223857
Prevotella_multiformis,K01834,-0.3536614645858343,-0.6764705882352942,0.4529555070633703,0.0272924239116219
Rothia_dentocariosa,K01057,-0.1146218487394958,0.32497737556561085,-0.45233004459513915,0.027505935649768665
Porphyromonas_pasteri,K01627,-0.03798319327731092,0.39203619909502263,-0.45220522723651585,0.027548716104043747
Porphyromonas_pasteri,K03270,0.13354141656662666,0.5257013574660634,-0.4498423107764536,0.028369486804801225
Lautropia_dentalis,K01835,-0.15466986794717888,-0.5409954751131222,0.4496406586135544,0.02844049743863919
Prevotella_shahii,K01586,-0.6488835534213685,-0.31429864253393663,-0.4480597609133702,0.029002525773868637
Veillonella_parvula_A,K01937,0.3323409363745498,-0.10009049773755656,0.44588431899081704,0.02979153417403002
Oribacterium_parvum,K00615,-0.18895558223289316,0.24687782805429864,-0.44333911180347074,0.030738014936522395
Filifactor_alocis,K01596,0.500984393757503,0.10959276018099548,0.44058482534254095,0.03179122105928722
Prevotella_shahii,K04041,0.5463145258103241,0.1734841628959276,0.43785602133524015,0.032865046561919575
Prevotella_multiformis,K01689,0.07034813925570228,-0.3516742081447964,0.4378174937951513,0.032880427368048526
Prevotella_shahii,K01006,0.5158703481392557,0.13447963800904977,0.43539691908108946,0.0338591947957676
Parvimonas_micra,K02117,0.7162064825930372,0.4337556561085973,0.43529887646829785,0.03389935809391709
Filifactor_alocis,K02112,-0.12067226890756302,-0.505158371040724,0.43494464048017945,0.034044811007676756
Capnocytophaga_gingivalis,K00940,0.5839615846338535,0.23013574660633485,0.43412055948395367,0.03438525256501834
Porphyromonas_pasteri,K00954,-0.27577430972388955,0.14886877828054298,-0.43308612834881915,0.034816706889167603
Prevotella_shahii,K01923,-0.5762785114045619,-0.23067873303167422,-0.42196657268347126,0.039753919412033545
Veillonella_parvula_A,K01923,0.40533013205282115,0.010497737556561085,0.41951243470375105,0.040920222568918696
Prevotella_shahii,K01834,-0.25675870348139257,0.1551131221719457,-0.41901064479548356,0.04116222984119999
