source,target,interaction,weight,edge_color
H1310063_DNA.MetaBAT2.7,K01005,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01139,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01489,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01520,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01756,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01775,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01784,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01803,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01921,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01923,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01933,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K01945,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02314,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02863,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02867,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02874,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02881,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02886,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02895,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02904,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02906,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02911,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02913,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02931,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02933,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02939,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02946,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02948,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02954,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02986,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K02994,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K03070,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K03075,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K03076,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K03106,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K03217,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K03367,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K03739,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K03740,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K03784,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K04077,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K05352,MAG-KO,2.28422983287255,blue
H1310063_DNA.MetaBAT2.7,K07718,MAG-KO,2.28422983287255,blue
